City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Camacha,PT,33.0833,-16.3333,69.06,85,68,15.26,broken clouds
167,Prince Rupert,CA,54.3161,-130.3201,46.09,71,100,14.97,overcast clouds
168,Tshikapa,CD,-6.4167,20.8,76.12,81,73,0.96,broken clouds
169,Lebu,CL,-37.6167,-73.65,55.15,67,85,17.94,overcast clouds
170,Auki,SB,-8.7676,160.7034,77.14,88,76,3.83,broken clouds
171,Norilsk,RU,69.3535,88.2027,18.07,96,100,3.31,light snow
172,Kenai,US,60.5544,-151.2583,39.29,93,75,6.91,light rain
173,Ust-Nera,RU,64.5667,143.2,-10.77,98,97,1.74,overcast clouds
174,Svetlaya,RU,46.5389,138.3297,45.55,60,100,8.68,overcast clouds
175,Esperance,AU,-33.8667,121.9,56.26,71,2,15.93,clear sky
176,Altamira,BR,-3.2033,-52.2064,95.4,39,70,2.21,broken clouds
177,San Policarpo,PH,12.1791,125.5072,80.55,80,100,19.3,overcast clouds
178,Porto Novo,BJ,6.4965,2.6036,80.38,81,100,6.8,overcast clouds
179,Hidalgo,MX,20.5,-99.0,69.21,33,16,3.06,few clouds
180,Norman Wells,CA,65.282,-126.8329,18.21,85,27,5.08,scattered clouds
181,Clyde River,CA,70.4692,-68.5914,30.24,98,100,12.57,snow
182,Amahai,ID,-3.3333,128.9167,78.1,86,98,3.42,overcast clouds
183,Pacocha,PE,-17.5833,-71.3333,69.35,69,8,7.63,clear sky
184,Port Said,EG,31.2565,32.2841,75.33,69,27,11.81,scattered clouds
185,Kudahuvadhoo,MV,2.6708,72.8944,82.6,77,18,13.24,few clouds
186,Kruisfontein,ZA,-34.0033,24.7314,58.89,92,1,3.36,clear sky
187,Provideniya,RU,64.3833,-173.3,12.63,85,99,11.3,overcast clouds
188,Mount Gambier,AU,-37.8333,140.7667,40.84,97,13,4.43,few clouds
189,Lisakovsk,KZ,52.5369,62.4936,40.5,75,100,21.05,overcast clouds
190,Chicama,PE,-7.8447,-79.1469,63.14,59,58,10.29,broken clouds
191,Mayumba,GA,-3.432,10.6554,77.61,89,97,9.15,light rain
192,Sola,VU,-13.8833,167.55,81.16,69,9,16.93,clear sky
193,Goderich,CA,43.7501,-81.7165,51.91,91,100,12.91,overcast clouds
194,Narsaq,GL,60.9167,-46.05,29.21,71,41,3.31,scattered clouds
195,Bubaque,GW,11.2833,-15.8333,78.69,79,100,6.55,overcast clouds
196,Bambous Virieux,MU,-20.3428,57.7575,72.21,76,58,7.87,broken clouds
197,Grand Gaube,MU,-20.0064,57.6608,72.37,83,4,6.78,clear sky
198,Brae,GB,60.3964,-1.353,49.96,87,100,17.94,overcast clouds
199,Fukue,JP,32.6881,128.8419,65.89,69,22,7.07,few clouds
200,Batticaloa,LK,7.7102,81.6924,79.21,85,79,5.44,broken clouds
201,Nueva Loja,EC,0.0847,-76.8828,90.39,47,74,3.33,moderate rain
202,Kailua,US,21.4022,-157.7394,80.08,77,3,4.68,clear sky
203,Noumea,NC,-22.2763,166.4572,73.0,99,5,4.18,clear sky
204,Pareora,NZ,-44.4871,171.2132,55.06,54,2,18.7,clear sky
205,Praya,CV,14.9215,-23.5087,79.23,78,97,16.53,overcast clouds
206,Fortuna,US,40.5982,-124.1573,64.47,48,60,1.01,broken clouds
207,Port Hardy,CA,50.6996,-127.4199,42.8,65,40,5.57,scattered clouds
208,Kurilsk,RU,45.2333,147.8833,44.4,78,75,7.72,broken clouds
209,Cayenne,GF,4.9333,-52.3333,87.84,66,75,12.66,broken clouds
210,Ashcroft,CA,50.7165,-121.2859,37.74,45,1,1.01,clear sky
211,Chuy,UY,-33.6971,-53.4616,71.22,74,99,14.09,overcast clouds
212,Port Hedland,AU,-20.3167,118.5667,74.44,65,0,6.76,clear sky
213,Najran,SA,17.4924,44.1277,68.74,42,1,6.73,clear sky
214,Marsh Harbour,BS,26.5412,-77.0636,81.01,67,76,23.76,broken clouds
