City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
548,Mumford,GH,80.06,overcast clouds,5.2618,-0.759,Spanish Villa
559,Beberibe,BR,83.23,broken clouds,-4.1797,-38.1306,Villa Arte Pousada Morro Branco
574,Natal,BR,86.65,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
575,Metro,ID,76.37,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
577,Vanimo,PG,77.25,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
581,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
582,Santa Helena De Goias,BR,80.64,overcast clouds,-17.8136,-50.5969,Hotel Cana Verde
583,Port Keats,AU,83.14,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
584,Rio De Jesus,PA,80.42,overcast clouds,7.9844,-81.1631,Parador fotografico Rio de Jesus
590,Bridgetown,BB,82.56,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
591,Namwala,ZM,84.81,overcast clouds,-15.7504,26.4384,Corner Point Lodge
593,Limbang,MY,77.11,overcast clouds,4.75,115.0,Purnama Hotel
594,Manzanillo,CU,89.35,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
595,Keti Bandar,PK,81.07,few clouds,24.1447,67.4497,Haji laloo memon house
597,Qui Nhon,VN,75.85,few clouds,13.7667,109.2333,Hoang Yen Canary Hotel
600,Policarpa,CO,76.35,light rain,1.6323,-77.462,Hotel Figueroa
603,Sao Filipe,CV,79.86,overcast clouds,14.8961,-24.4956,Hotel Xaguate
604,Mbuguni,TZ,78.42,clear sky,-3.5667,36.95,kaza Moyo Modern Resort
606,Gamboma,CG,77.05,overcast clouds,-1.8764,15.8644,Residence N'Keni
609,Jatai,BR,82.98,overcast clouds,-17.8814,-51.7144,La Vitre Hotel
610,Senanga,ZM,79.07,broken clouds,-16.1167,23.2667,Zango lodge
618,Nsanje,MW,78.08,clear sky,-16.92,35.262,Nsanje Discovery Lodge
620,Safford,US,78.93,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
622,Hobyo,SO,80.62,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
627,Iquitos,PE,86.5,overcast clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
629,Katherine,AU,80.92,broken clouds,-14.4667,132.2667,Pine Tree Motel
635,Bundaberg,AU,76.21,overcast clouds,-24.85,152.35,Takalvan Motel
637,Singaraja,ID,80.04,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
640,Balabac,PH,82.35,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
641,Axim,GH,79.12,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
649,Grand-Lahou,CI,78.62,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
651,Galle,LK,77.4,overcast clouds,6.0367,80.217,Amangalla
652,Kannangad,IN,77.92,overcast clouds,12.3081,75.1063,Hotel Landmark
